Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Aydın,2023-04-03 06:03:20,00:00:04,Autoplayed: user action: None; ,Erşan Kuneri: 1. Sezon: Kötü Mal (Bölüm 4),,Xiaomi aquaman Streaming Stick,00:00:09,00:00:09,TR (Turkey)
Aydın,2023-04-03 05:17:44,00:45:34,,Erşan Kuneri: 1. Sezon: Kooperatif Kemal (Bölüm 3),,Xiaomi aquaman Streaming Stick,00:45:39,00:45:39,TR (Turkey)
Aydın,2023-04-03 04:35:18,00:42:23,,Erşan Kuneri: 1. Sezon: Ebenin Avı (Bölüm 2),,Xiaomi aquaman Streaming Stick,00:42:28,00:42:28,TR (Turkey)
Aydın,2023-04-03 03:41:26,00:53:49,,Erşan Kuneri: 1. Sezon: Kuru Murad (Bölüm 1),,Xiaomi aquaman Streaming Stick,00:53:49,00:53:49,TR (Turkey)
Aydın,2023-04-03 03:40:55,00:00:21,Autoplayed: user action: None; ,Season 1 Inciting Incident Clip: Erşan Kuneri,HOOK,Xiaomi aquaman Streaming Stick,00:00:21,00:00:21,TR (Turkey)
Aydın,2023-04-03 03:40:19,00:00:04,Autoplayed: user action: None; ,The Good Place: Season 1_hook_primary_16x9,HOOK,Xiaomi aquaman Streaming Stick,00:00:04,00:00:04,TR (Turkey)
Aydın,2023-04-03 03:39:47,00:00:13,Autoplayed: user action: None; ,Menajerimi Arayın!: 1. Sezon (Fragman),TRAILER,Xiaomi aquaman Streaming Stick,00:00:14,00:00:14,TR (Turkey)
Aydın,2023-04-03 03:39:05,00:00:36,Autoplayed: user action: None; ,1. Sezon (Tanıtım Fragmanı): Üçüzler,TEASER_TRAILER,Xiaomi aquaman Streaming Stick,00:00:36,00:00:36,TR (Turkey)
Aydın,2023-04-03 03:38:52,00:00:08,Autoplayed: user action: None; ,Menajerimi Arayın!: 1. Sezon (Fragman),TRAILER,Xiaomi aquaman Streaming Stick,00:00:09,Not latest view,TR (Turkey)
Aydın,2023-04-03 03:38:37,00:00:05,Autoplayed: user action: None; ,1. Sezon (2. Tanıtım Fragmanı): Şahmaran,TEASER_TRAILER,Xiaomi aquaman Streaming Stick,00:00:05,00:00:05,TR (Turkey)
Aydın,2023-04-03 03:10:10,00:28:16,Autoplayed: user action: User_Interaction; ,Şahmaran: Season 1: Dünya Sancısı (Bölüm 1),,Xiaomi aquaman Streaming Stick,00:28:16,00:28:16,TR (Turkey)
Aydın,2023-02-28 00:02:33,00:13:59,,Post Mortem: No One Dies in Skarnes: 1. Sezon: Post Mortem (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:13:59,00:13:59,TR (Turkey)
Aydın,2023-02-28 00:02:02,00:00:29,Autoplayed: user action: None; ,1. Sezon (Fragman): Post Mortem: No One Dies in Skarnes,TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:29,00:00:29,TR (Turkey)
Aydın,2023-02-28 00:01:36,00:00:21,Autoplayed: user action: None; ,3. Sezon (Kısa Video): Never Have I Ever,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:21,00:00:21,TR (Turkey)
Aydın,2023-02-28 00:01:19,00:00:12,Autoplayed: user action: None; ,Insatiable Gerçekleri (Özel Video),BONUS_VIDEO,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:12,00:00:12,TR (Turkey)
Aydın,2023-02-27 23:59:56,00:00:51,Autoplayed: user action: None; ,Bıçaklar Çekildi: Gizemli Bir Serüven (Kısa Video): Bıçaklar Çekildi: Gizemli Bir Serüven,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:51,00:00:51,TR (Turkey)
Aydın,2023-02-27 23:59:45,00:00:08,Autoplayed: user action: None; ,1. Sezon (Kısa Video): The Girls at the Back,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:08,00:00:08,TR (Turkey)
Aydın,2023-02-27 23:58:58,00:00:44,Autoplayed: user action: None; ,1. Sezon (Kısa Video): Kırık Kalpler İçin Astroloji Rehberi,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:44,00:00:44,TR (Turkey)
Aydın,2023-02-27 23:58:38,00:00:17,Autoplayed: user action: None; ,Workin' Moms: Season 1 - Upper Bound Clip 6,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:17,00:00:17,TR (Turkey)
Aydın,2023-02-27 23:58:20,00:00:08,Autoplayed: user action: None; ,The Bold Type: Season 1_hook_01_16x9,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:08,00:00:08,TR (Turkey)
Aydın,2023-02-27 23:57:51,00:00:27,Autoplayed: user action: None; ,1. Sezon (Fragman): Sex Education,TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:27,00:00:27,TR (Turkey)
Aydın,2023-02-27 23:56:56,00:00:43,Autoplayed: user action: None; ,Fragman: Your Place or Mine,TRAILER,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:43,00:00:43,TR (Turkey)
Aydın,2023-02-27 23:56:41,00:00:10,Autoplayed: user action: None; ,"3. Sezon (Kısa Video): İki Anne, İki Kız",HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:10,00:00:10,TR (Turkey)
Aydın,2023-02-27 23:56:01,00:00:36,Autoplayed: user action: None; ,Meşhur Hayalet Ernest (Kısa Video): Meşhur Hayalet Ernest,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:36,00:00:36,TR (Turkey)
Aydın,2023-02-27 23:55:52,00:00:06,Autoplayed: user action: None; ,GINNYANDGEORGIA_S1_CLIP_MAINCHARACTER,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:06,00:00:06,TR (Turkey)
Aydın,2023-02-27 23:31:56,00:07:10,,Emily in Paris: 1. Sezon: Paris'te Bir Amerikan Müzayedesi (Bölüm 9),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:07:15,00:07:15,TR (Turkey)
Aydın,2023-02-27 23:04:46,00:27:08,,Emily in Paris: 1. Sezon: Aile Meselesi (Bölüm 8),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:27:13,00:27:13,TR (Turkey)
Aydın,2023-02-27 22:38:42,00:26:03,,Emily in Paris: 1. Sezon: Fransız Finali (Bölüm 7),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:26:08,00:26:08,TR (Turkey)
Aydın,2023-02-27 22:11:06,00:27:34,,Emily in Paris: 1. Sezon: Zevksiz (Bölüm 6),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:27:39,00:27:39,TR (Turkey)
Aydın,2023-02-27 21:46:24,00:24:40,,Emily in Paris: 1. Sezon: Sahte Arkadaşlar (Bölüm 5),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:24:45,00:24:45,TR (Turkey)
Aydın,2023-02-27 21:21:16,00:25:03,,Emily in Paris: 1. Sezon: Sadece Bir Öpücük (Bölüm 4),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:25:23,00:25:23,TR (Turkey)
Aydın,2023-02-27 20:56:46,00:24:28,,"Emily in Paris: 1. Sezon: Seksi mi, Cinsiyetçi mi? (Bölüm 3)",,Samsung CE 2019 Muse-M UHD TV Smart TV,00:24:33,00:24:33,TR (Turkey)
Aydın,2023-02-27 20:31:54,00:24:49,,Emily in Paris: 1. Sezon: Maskulen Feminen (Bölüm 2),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:24:54,00:24:54,TR (Turkey)
Aydın,2023-02-27 20:03:51,00:28:00,,Emily in Paris: 1. Sezon: Emily Paris'te (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:28:00,00:28:00,TR (Turkey)
Aydın,2023-02-27 20:03:34,00:00:15,Autoplayed: user action: None; ,3. Sezon (2. Kısa Video): Emily in Paris,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:15,00:00:15,TR (Turkey)
Aydın,2023-02-27 20:03:20,00:00:11,Autoplayed: user action: None; ,Meşhur Hayalet Ernest (Kısa Video): Meşhur Hayalet Ernest,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:11,Not latest view,TR (Turkey)
Aydın,2023-02-27 20:02:49,00:00:03,Autoplayed: user action: None; ,Emily in Paris: 1. Sezon: Emily Paris'te (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:03,Not latest view,TR (Turkey)
Aydın,2023-02-27 19:58:59,00:03:45,,Menajerimi Arayın!: 1. Sezon: Cécile (Bölüm 1),,Samsung CE 2019 Muse-M UHD TV Smart TV,00:03:45,00:03:45,TR (Turkey)
Aydın,2023-02-27 19:58:28,00:00:08,Autoplayed: user action: None; ,3. Sezon (2. Kısa Video): Emily in Paris,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:08,Not latest view,TR (Turkey)
Aydın,2023-02-27 19:58:02,00:00:04,Autoplayed: user action: None; ,Brooklyn Nine-Nine: Season 1_hook_primary_16x9,HOOK,Samsung CE 2019 Muse-M UHD TV Smart TV,00:00:04,00:00:04,TR (Turkey)
